Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score,Fraud_Risk_Score,Fraud_Flag,Claim_Status,Settlement_Amount,Claim_Coverage_Ratio,Claim_Premium_Ratio,Coverage_Premium_Ratio,Remaining_Coverage,Young_Customer,Senior_Customer,Low_Credit_Score,High_Claim,Fraud_Probability,Fraud_Prediction,Recommended_Action,Potential_Financial_Loss
CLM000323,CUST002069,POL0515331,66,Male,East,Home,4183.02,49328.29,8015.56,Theft,353,58.746674,Yes,Under Review,4626.08,0.16249417930360044,1.916213644687331,11.792506370995117,41312.73,0,1,1,0,0.5874667,Fraudulent,REVIEW,4708.874716243744
CLM009602,CUST004576,POL0284687,33,Female,North,Auto,4494.86,74964.64,39400.05,Accident,780,43.495644,No,Approved,29904.06,0.5255817942966178,8.765578905683382,16.677858709726223,35564.59,0,0,0,0,0.43495643,Genuine,REVIEW,17137.305144542457
CLM032143,CUST002298,POL0441300,63,Female,East,Health,4204.5,46329.89,19448.32,Theft,674,48.220547,No,Approved,14616.78,0.4197791102029381,4.625596384825782,11.019119990486384,26881.57,0,1,0,0,0.48220545,Genuine,REVIEW,9378.08590774536
CLM012665,CUST008285,POL0434846,67,Female,North,Health,1545.86,5025.19,48761.63,Medical,813,22.626432,No,Approved,45089.95,9.703440068932718,31.543367445952416,3.2507406880312577,-43736.439999999995,0,1,0,0,0.22626433,Genuine,APPROVE,11033.017432651817
CLM005229,CUST000122,POL0703849,19,Female,West,Auto,4757.08,79931.43,34463.31,Property,617,48.36979,No,Approved,26781.78,0.43116093381539655,7.244635364551363,16.80262471936566,45468.119999999995,1,0,0,0,0.4836979,Genuine,REVIEW,16669.830371990203
CLM037014,CUST017783,POL0416092,38,Female,East,Health,3618.26,96788.95,32835.28,Property,610,50.654953,Yes,Under Review,19902.65,0.33924616394743407,9.074881296534798,26.750136806089113,63953.67,0,0,0,0,0.50654954,Fraudulent,REVIEW,16632.695887236594
CLM047332,CUST009142,POL0774554,77,Male,West,Home,1454.54,22261.14,37720.19,Accident,300,65.76218,Yes,Under Review,36866.06,1.694441075344749,25.932727872729526,15.304591142216783,-15459.050000000003,0,1,1,0,0.6576218,Fraudulent,REVIEW,24805.619278071525
CLM020290,CUST017151,POL0665863,79,Male,East,Home,452.27,76112.06,36139.05,Accident,812,47.232445,No,Rejected,31344.17,0.4748137154611241,79.90591903066753,168.2889866672563,39973.009999999995,0,1,0,0,0.47232446,Genuine,REVIEW,17069.357303081455
CLM040249,CUST017456,POL0898247,55,Male,South,Home,3151.26,60951.46,17925.54,Theft,478,48.659073,No,Approved,9071.09,0.29409533422169054,5.688372270139563,19.34193306804262,43025.92,0,0,1,0,0.4865907,Genuine,REVIEW,8722.401294216514
CLM035789,CUST012778,POL0181779,36,Female,West,Auto,775.34,83263.93,12381.17,Medical,494,60.34428,Yes,Under Review,8625.76,0.14869788154366484,15.968697603631954,107.39021590528026,70882.76,0,0,1,0,0.6034428,Fraudulent,REVIEW,7471.327745038271
CLM037214,CUST013382,POL0538930,78,Male,East,Health,4195.74,42415.26,36901.52,Accident,802,52.309353,Yes,Under Review,35108.95,0.8700057479312869,8.794996830118167,10.109124969612036,5513.740000000005,0,1,0,0,0.5230935,Fraudulent,REVIEW,19302.94604900837
CLM018506,CUST009526,POL0579425,22,Male,North,Auto,339.72,30143.52,32748.68,Accident,386,42.686195,No,Approved,22252.07,1.0864252084693493,96.39903449899917,88.73048392794065,-2605.16,1,0,1,0,0.42686197,Genuine,REVIEW,13979.166112645864
