Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score
CLM000004,CUST007487,POL0372362,66,Male,North,Health,579.12,24701.69,616.78,Property,411
CLM000005,CUST011899,POL0882135,21,Female,East,Home,676.23,28416.22,42049.7,Theft,714
CLM000009,CUST005436,POL0133206,35,Female,East,Auto,2771.01,32348.61,5396.93,Accident,477
CLM000011,CUST015611,POL0872204,47,Female,North,Health,2703.14,38434.95,34641.34,Theft,706
CLM000021,CUST014423,POL0583144,66,Male,North,Home,1362.16,95756.1,49643.1,Accident,827
CLM000033,CUST008050,POL0265055,19,Male,South,Life,849.96,44369.45,3557.22,Theft,796
CLM000036,CUST002534,POL0779427,59,Female,East,Life,3035.49,37853.77,30612.01,Medical,579
CLM000052,CUST007809,POL0575166,57,Female,South,Health,4033.43,77160.13,6135.62,Medical,645
CLM000054,CUST004768,POL0463271,60,Male,South,Home,2960.29,60958.27,4466.67,Theft,672
CLM000058,CUST004095,POL0567952,65,Female,South,Health,1179.41,32318.25,17058.88,Property,500
CLM000059,CUST019804,POL0848905,40,Male,East,Auto,2902.19,95065.51,1260.07,Medical,836
CLM000060,CUST008745,POL0545936,49,Female,South,Home,2560.76,89965.96,29665.1,Property,839
CLM000063,CUST001640,POL0269562,67,Male,West,Home,4183.23,12022.79,9049.02,Medical,665
CLM000065,CUST001665,POL0884051,48,Male,South,Auto,515.5,96513.32,6322.26,Medical,777
CLM000066,CUST013528,POL0374356,38,Female,East,Life,1077.16,6198.09,26978.05,Accident,384
CLM000068,CUST007083,POL0539811,60,Male,East,Auto,480.37,12148.23,5509.49,Theft,428
CLM000071,CUST003740,POL0109533,21,Male,South,Health,673.15,10765.59,32774.14,Theft,580
CLM000086,CUST009436,POL0322778,69,Male,East,Auto,4683.25,85390.72,43963.84,Medical,476
CLM000090,CUST016654,POL0681258,77,Male,West,Home,1237.67,99755.19,7458.21,Property,556
CLM000094,CUST019251,POL0041956,42,Male,North,Life,646.6,8089.16,31336.75,Theft,589
CLM000095,CUST018436,POL0099889,44,Male,West,Home,3578.78,63322.93,37074.23,Medical,457
CLM000098,CUST001722,POL0859670,70,Male,North,Life,3861.15,27335.36,19864.26,Property,497
CLM000104,CUST004623,POL0094518,69,Male,West,Auto,756.45,35823.3,35980.59,Accident,641
CLM000107,CUST012596,POL0893226,44,Male,North,Health,1044.84,12684.44,42470.56,Property,374
CLM000115,CUST012685,POL0323455,55,Male,East,Life,1166.39,75092.97,26926.27,Accident,473
CLM000124,CUST002736,POL0479488,75,Female,North,Home,3176.46,13584.16,30916.91,Accident,612
CLM000134,CUST009282,POL0297909,33,Male,North,Health,4615.15,91848.57,21457.84,Medical,477
CLM000135,CUST010635,POL0841638,79,Male,South,Health,1693.25,46778.77,23105.85,Accident,374
CLM000139,CUST016996,POL0810686,64,Male,South,Life,3761.49,53457.71,23997.14,Theft,676
CLM000140,CUST005134,POL0261212,24,Male,West,Home,4352.88,65687.53,15699.8,Medical,542
CLM000141,CUST017532,POL0763429,53,Female,East,Health,3365.23,82574.91,25801.63,Property,422
CLM000147,CUST001666,POL0020326,60,Male,North,Health,2743.78,49043.14,42293.39,Medical,521
CLM000154,CUST002209,POL0037547,49,Male,West,Home,1610.59,55646.92,15211.13,Property,707
CLM000157,CUST018437,POL0506684,61,Female,South,Home,2821.2,32261.26,29938.01,Property,739
CLM000164,CUST014192,POL0723941,36,Male,North,Life,4791.01,31966.1,40175.79,Accident,362
CLM000166,CUST005290,POL0063342,45,Male,South,Health,4337.61,20147.5,11453.91,Accident,399
CLM000169,CUST017476,POL0528157,71,Female,North,Life,1112.26,74689.25,39207.34,Property,615
CLM000170,CUST006452,POL0875361,23,Male,East,Health,4549.67,75775.31,31313.38,Accident,346
CLM000171,CUST011552,POL0453326,75,Female,North,Health,899.8,86508.92,39658.65,Accident,544
CLM000175,CUST006243,POL0256138,28,Female,South,Auto,4228.04,47954.54,5630.71,Property,305
CLM000178,CUST009452,POL0008714,30,Male,West,Health,2568.88,14578.46,15984.08,Medical,586
CLM000181,CUST015684,POL0533622,67,Male,West,Health,4419.66,45893.35,29925.88,Theft,481
CLM000191,CUST006792,POL0492776,61,Female,East,Auto,337.77,42976.78,42295.29,Property,823
CLM000192,CUST015016,POL0747126,36,Female,North,Health,3827.45,64453.07,49280.35,Medical,839
CLM000195,CUST001432,POL0061833,38,Male,West,Health,2387.7,68087.43,30757.49,Property,791
CLM000198,CUST013474,POL0791664,75,Female,West,Life,1633.8,11495.49,34985.78,Theft,439
CLM000206,CUST019695,POL0689234,53,Male,North,Life,2901.77,9586.04,30998.47,Medical,334
CLM000209,CUST008896,POL0487608,26,Male,North,Life,3000.3,53770.92,32058.8,Theft,480
CLM000213,CUST015889,POL0163160,43,Female,North,Auto,1017.12,98341.75,38211.54,Theft,694
CLM000226,CUST011306,POL0112409,40,Male,West,Auto,1330.3,10666.4,26741.04,Theft,493
CLM000227,CUST001598,POL0864849,55,Male,West,Life,1579.24,5117.51,11034.02,Property,471
CLM000231,CUST010528,POL0214967,47,Male,East,Health,2490.95,65950.96,10655.96,Medical,366
CLM000239,CUST002412,POL0520697,50,Male,South,Auto,4431.64,43403.61,12465.59,Accident,439
CLM000240,CUST004836,POL0687387,18,Male,East,Home,1732.14,32748.37,32653.32,Property,842
CLM000242,CUST001364,POL0756780,31,Male,North,Home,2048.08,55754.9,46626.84,Accident,595
CLM000247,CUST005344,POL0104745,39,Female,East,Life,2023.25,99026.2,46446.77,Accident,576
CLM000251,CUST006658,POL0795121,27,Female,East,Home,2761.78,20029.07,6450.51,Accident,521
CLM000257,CUST013430,POL0313825,27,Female,South,Health,3996.08,58434.13,18478.13,Medical,433
